V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_2380	Q3ZCI9	2.03e-22	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	Bos taurus (Bovine)	protein folding [GO:0006457]	GO:0005524; GO:0005815; GO:0005832; GO:0005929; GO:0006457; GO:0016887; GO:0051082; GO:0140662
Ab_contig_2388	P45887	8.44e-21	Actin-5, muscle-specific (EC 3.6.4.-)	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)		GO:0005524; GO:0005737; GO:0005856; GO:0016787
Ab_contig_2389	P48601	7.469999999999998e-74	26S proteasome regulatory subunit 4 (P26s4)	Drosophila melanogaster (Fruit fly)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0005524; GO:0005654; GO:0005829; GO:0005838; GO:0008540; GO:0016887; GO:0036402; GO:0043161
Ab_contig_2394	Q5RAP1	8.53e-30	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	binding of sperm to zona pellucida [GO:0007339]; chaperone-mediated protein folding [GO:0061077]; pore complex assembly [GO:0046931]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein stabilization [GO:0050821]; toxin transport [GO:1901998]	GO:0002199; GO:0005524; GO:0005654; GO:0005813; GO:0005832; GO:0005874; GO:0005929; GO:0007339; GO:0016887; GO:0032212; GO:0044297; GO:0045111; GO:0046931; GO:0050821; GO:0051082; GO:0061077; GO:0140662; GO:1901998; GO:1904851
Ab_contig_2397	P62334	3.479999999999999e-90	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	Mus musculus (Mouse)	positive regulation of inclusion body assembly [GO:0090261]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent ERAD pathway [GO:0030433]	GO:0000502; GO:0005524; GO:0005634; GO:0008540; GO:0016234; GO:0016887; GO:0022624; GO:0030433; GO:0031597; GO:0036402; GO:0042802; GO:0043161; GO:0045899; GO:0090261
Ab_contig_2410	P07751	1.62e-24	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain)	Gallus gallus (Chicken)	actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]	GO:0005509; GO:0005516; GO:0005886; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0043034; GO:0051015; GO:0051693
Ab_contig_2413	Q5WR10	1.41e-50	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56)	Canis lupus familiaris (Dog) (Canis familiaris)	mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of DNA damage checkpoint [GO:2000002]; positive regulation of DNA-templated transcription, elongation [GO:0032786]	GO:0000398; GO:0003723; GO:0003724; GO:0005524; GO:0005681; GO:0005737; GO:0006406; GO:0016607; GO:0016887; GO:0032786; GO:2000002
Ab_contig_2415	P70097	9.44e-34	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1)	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; tricarboxylic acid cycle [GO:0006099]	GO:0000104; GO:0005743; GO:0005749; GO:0006099; GO:0009055; GO:0020037; GO:0042776; GO:0046872
Ab_contig_2417	Q6YHK3	4.85e-42	CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)	Homo sapiens (Human)	hair follicle development [GO:0001942]; keratinocyte proliferation [GO:0043616]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of peptidase activity [GO:0010466]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of wound healing [GO:0061045]; osteoclast fusion [GO:0072675]; protein phosphorylation [GO:0006468]; regulation of keratinocyte differentiation [GO:0045616]; stem cell proliferation [GO:0072089]	GO:0001933; GO:0001942; GO:0004867; GO:0005576; GO:0005615; GO:0005829; GO:0005886; GO:0006468; GO:0009986; GO:0010466; GO:0010839; GO:0030512; GO:0031092; GO:0043616; GO:0045616; GO:0050431; GO:0061045; GO:0072089; GO:0072675; GO:2000647
Ab_contig_2420	Q3TTY0	6.349999999999999e-65	Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	Mus musculus (Mouse)	diacylglycerol catabolic process [GO:0046340]; phosphatidylcholine catabolic process [GO:0034638]; phosphatidylethanolamine catabolic process [GO:0046338]; phosphatidylglycerol catabolic process [GO:0034478]; phospholipid metabolic process [GO:0006644]; positive regulation of acrosome reaction [GO:2000344]; retinol metabolic process [GO:0042572]; triglyceride catabolic process [GO:0019433]	GO:0004620; GO:0004622; GO:0004623; GO:0004806; GO:0006644; GO:0016324; GO:0019433; GO:0031526; GO:0034478; GO:0034638; GO:0042572; GO:0046338; GO:0046340; GO:0047499; GO:0050253; GO:0102545; GO:2000344
Ab_contig_2420	Q3TTY0	6.67e-52	Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	Mus musculus (Mouse)	diacylglycerol catabolic process [GO:0046340]; phosphatidylcholine catabolic process [GO:0034638]; phosphatidylethanolamine catabolic process [GO:0046338]; phosphatidylglycerol catabolic process [GO:0034478]; phospholipid metabolic process [GO:0006644]; positive regulation of acrosome reaction [GO:2000344]; retinol metabolic process [GO:0042572]; triglyceride catabolic process [GO:0019433]	GO:0004620; GO:0004622; GO:0004623; GO:0004806; GO:0006644; GO:0016324; GO:0019433; GO:0031526; GO:0034478; GO:0034638; GO:0042572; GO:0046338; GO:0046340; GO:0047499; GO:0050253; GO:0102545; GO:2000344
Ab_contig_2420	Q3TTY0	1.43e-44	Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	Mus musculus (Mouse)	diacylglycerol catabolic process [GO:0046340]; phosphatidylcholine catabolic process [GO:0034638]; phosphatidylethanolamine catabolic process [GO:0046338]; phosphatidylglycerol catabolic process [GO:0034478]; phospholipid metabolic process [GO:0006644]; positive regulation of acrosome reaction [GO:2000344]; retinol metabolic process [GO:0042572]; triglyceride catabolic process [GO:0019433]	GO:0004620; GO:0004622; GO:0004623; GO:0004806; GO:0006644; GO:0016324; GO:0019433; GO:0031526; GO:0034478; GO:0034638; GO:0042572; GO:0046338; GO:0046340; GO:0047499; GO:0050253; GO:0102545; GO:2000344
Ab_contig_2420	Q3TTY0	1.8899999999999997e-23	Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	Mus musculus (Mouse)	diacylglycerol catabolic process [GO:0046340]; phosphatidylcholine catabolic process [GO:0034638]; phosphatidylethanolamine catabolic process [GO:0046338]; phosphatidylglycerol catabolic process [GO:0034478]; phospholipid metabolic process [GO:0006644]; positive regulation of acrosome reaction [GO:2000344]; retinol metabolic process [GO:0042572]; triglyceride catabolic process [GO:0019433]	GO:0004620; GO:0004622; GO:0004623; GO:0004806; GO:0006644; GO:0016324; GO:0019433; GO:0031526; GO:0034478; GO:0034638; GO:0042572; GO:0046338; GO:0046340; GO:0047499; GO:0050253; GO:0102545; GO:2000344
Ab_contig_2425	Q9WV25	1.3799999999999999e-30	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (RNA-binding protein Siah-BP) (Siah-binding protein 1)	Rattus norvegicus (Rat)	alternative mRNA splicing, via spliceosome [GO:0000380]; apoptotic process [GO:0006915]; mRNA splice site selection [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	GO:0000380; GO:0000381; GO:0003677; GO:0003723; GO:0005634; GO:0006376; GO:0006915; GO:0042802; GO:1990904
Ab_contig_2426	O94817	1.3e-39	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)	Homo sapiens (Human)	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; C-terminal protein lipidation [GO:0006501]; macroautophagy [GO:0016236]; negative regulation of defense response to virus [GO:0050687]; negative regulation of innate immune response [GO:0045824]; negative regulation of type I interferon production [GO:0032480]; positive regulation of viral translation [GO:1904973]; protein lipidation [GO:0006497]; regulation of autophagosome maturation [GO:1901096]	GO:0000045; GO:0000422; GO:0005654; GO:0005776; GO:0005829; GO:0006497; GO:0006501; GO:0016236; GO:0030670; GO:0032480; GO:0032991; GO:0034045; GO:0034274; GO:0043231; GO:0044804; GO:0045824; GO:0050687; GO:1901096; GO:1904973; GO:1990234
Ab_contig_2451	Q91W50	3.61e-28	Cold shock domain-containing protein E1	Mus musculus (Mouse)	CRD-mediated mRNA stabilization [GO:0070934]; IRES-dependent viral translational initiation [GO:0075522]; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900152]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; positive regulation of cytoplasmic translation [GO:2000767]; stress granule assembly [GO:0034063]	GO:0000932; GO:0005743; GO:0005794; GO:0005829; GO:0005886; GO:0010494; GO:0034063; GO:0035613; GO:0070934; GO:0070937; GO:0070966; GO:0075522; GO:0106002; GO:1900152; GO:2000767
Ab_contig_2456	P51544	1.86e-58	Arginine kinase (AK) (EC 2.7.3.3)	Haliotis madaka (Giant abalone) (Nordotis madaka)	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314
Ab_contig_2466	Q90473	1.29e-52	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	Danio rerio (Zebrafish) (Brachydanio rerio)	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; fin regeneration [GO:0031101]; positive regulation of receptor-mediated endocytosis [GO:0048260]; protein localization to early endosome [GO:1902946]; protein refolding [GO:0042026]; regulation of fibroblast growth factor receptor signaling pathway [GO:0040036]; vesicle-mediated transport [GO:0016192]	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016192; GO:0016887; GO:0031072; GO:0031101; GO:0034620; GO:0040036; GO:0042026; GO:0044183; GO:0048260; GO:0051082; GO:0051085; GO:0051787; GO:0140662; GO:1902946
Ab_contig_2470	P63018	1.9499999999999995e-124	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Rattus norvegicus (Rat)	aging [GO:0007568]; ATP metabolic process [GO:0046034]; axo-dendritic transport [GO:0008088]; cellular response to cadmium ion [GO:0071276]; cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; cerebellum development [GO:0021549]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone-mediated protein folding [GO:0061077]; clathrin coat disassembly [GO:0072318]; estrous cycle [GO:0044849]; forebrain development [GO:0030900]; G1/S transition of mitotic cell cycle [GO:0000082]; kidney development [GO:0001822]; late endosomal microautophagy [GO:0061738]; maintenance of postsynaptic specialization structure [GO:0098880]; modulation by host of viral process [GO:0044788]; mRNA processing [GO:0006397]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of supramolecular fiber organization [GO:1902904]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of catalytic activity [GO:0043085]; positive regulation of gene expression [GO:0010628]; positive regulation of lysosomal membrane permeability [GO:0097214]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein refolding [GO:1904592]; positive regulation of proteolysis [GO:0045862]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; protein autophosphorylation [GO:0046777]; protein folding [GO:0006457]; protein import into nucleus [GO:0006606]; protein refolding [GO:0042026]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; protein transmembrane import into intracellular organelle [GO:0044743]; protein-containing complex disassembly [GO:0032984]; regulation of cell cycle [GO:0051726]; regulation of postsynapse organization [GO:0099175]; regulation of protein complex stability [GO:0061635]; regulation of protein stability [GO:0031647]; response to activity [GO:0014823]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to nickel cation [GO:0010045]; response to odorant [GO:1990834]; response to progesterone [GO:0032570]; response to starvation [GO:0042594]; response to xenobiotic stimulus [GO:0009410]; RNA splicing [GO:0008380]; sensory perception of smell [GO:0007608]; skeletal muscle tissue development [GO:0007519]; slow axonal transport [GO:1990832]; synaptic vesicle uncoating [GO:0016191]; vesicle-mediated transport [GO:0016192]	GO:0000082; GO:0000974; GO:0001664; GO:0001786; GO:0001822; GO:0001916; GO:0001917; GO:0003723; GO:0005102; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0005764; GO:0005765; GO:0005770; GO:0005776; GO:0005829; GO:0005874; GO:0005882; GO:0005886; GO:0006397; GO:0006457; GO:0006606; GO:0007519; GO:0007568; GO:0007608; GO:0008021; GO:0008088; GO:0008380; GO:0009408; GO:0009410; GO:0009986; GO:0010045; GO:0010628; GO:0010667; GO:0014069; GO:0014823; GO:0016191; GO:0016192; GO:0016887; GO:0019899; GO:0021549; GO:0030424; GO:0030425; GO:0030674; GO:0030900; GO:0031072; GO:0031625; GO:0031647; GO:0031686; GO:0032279; GO:0032355; GO:0032570; GO:0032984; GO:0032991; GO:0034605; GO:0034620; GO:0042026; GO:0042277; GO:0042470; GO:0042594; GO:0043005; GO:0043025; GO:0043085; GO:0043195; GO:0043197; GO:0043198; GO:0043202; GO:0043204; GO:0043531; GO:0044183; GO:0044309; GO:0044743; GO:0044788; GO:0044829; GO:0044849; GO:0045121; GO:0045471; GO:0045862; GO:0045892; GO:0046034; GO:0046777; GO:0048026; GO:0048471; GO:0050766; GO:0051082; GO:0051085; GO:0051087; GO:0051726; GO:0051787; GO:0055131; GO:0061077; GO:0061635; GO:0061684; GO:0061738; GO:0061740; GO:0070062; GO:0071276; GO:0072318; GO:0097214; GO:0098684; GO:0098690; GO:0098793; GO:0098794; GO:0098880; GO:0098978; GO:0099175; GO:0099523; GO:0099524; GO:0099634; GO:0101031; GO:0140545; GO:0140662; GO:1902904; GO:1903206; GO:1904592; GO:1904593; GO:1904764; GO:1990124; GO:1990832; GO:1990833; GO:1990834; GO:1990836; GO:1990904
Ab_contig_2482	P04069	2.39e-22	Carboxypeptidase B (EC 3.4.17.2)	Astacus astacus (Noble crayfish) (Astacus fluviatilis)	proteolysis [GO:0006508]	GO:0004181; GO:0005576; GO:0006508; GO:0008270
Ab_contig_2486	Q6CGG3	3.12e-22	FK506-binding protein 2 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	chaperone-mediated protein folding [GO:0061077]; protein peptidyl-prolyl isomerization [GO:0000413]	GO:0000413; GO:0003755; GO:0005783; GO:0061077
Ab_contig_2505	E0W1I1	8.279999999999999e-35	Serine/threonine-protein kinase Pink1, mitochondrial (EC 2.7.11.1) (PTEN-induced putative kinase 1)	Pediculus humanus subsp. corporis (Body louse)	autophagy [GO:0006914]; protein phosphorylation [GO:0006468]	GO:0004672; GO:0004674; GO:0005524; GO:0005741; GO:0005743; GO:0005829; GO:0006468; GO:0006914; GO:0046872
Ab_contig_2514	Q6RWA9	8.109999999999999e-107	Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha) (TNaK1-alpha)	Taenia solium (Pork tapeworm)		GO:0005391; GO:0005524; GO:0005886; GO:0016887; GO:0046872
Ab_contig_2520	Q5R9J9	1.28e-44	Trafficking protein particle complex subunit 4	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	autophagy [GO:0006914]; dendrite development [GO:0016358]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	GO:0000139; GO:0005783; GO:0005795; GO:0006888; GO:0006914; GO:0008021; GO:0016358; GO:0030008; GO:0030425; GO:0045211
Ab_contig_2522	P38542	9.919999999999999e-74	GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4)	Brugia malayi (Filarial nematode worm)	nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]	GO:0003924; GO:0005525; GO:0005634; GO:0006913; GO:0015031
Ab_contig_2543	Q5R5B6	2.01e-34	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)		GO:0003756; GO:0005783; GO:0005788; GO:0005886; GO:0042470; GO:0046982
Ab_contig_2549	Q9U9L2	1.58e-54	60S ribosomal protein L8	Anopheles gambiae (African malaria mosquito)	cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625
Ab_contig_2550	Q10584	1.6700000000000002e-21	Hemocyanin 2 (Keyhole limpet hemocyanin B) (KLH-B)	Megathura crenulata (Giant keyhole limpet)		GO:0005344; GO:0005615; GO:0016491; GO:0046872
Ab_contig_2560	P09645	2.7499999999999997e-42	Tubulin alpha-8 chain (EC 3.6.5.-)	Gallus gallus (Chicken)	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0016787
Ab_contig_2576	P28075	4.2999999999999997e-38	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit X)	Rattus norvegicus (Rat)	proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteolysis [GO:0006508]; response to oxidative stress [GO:0006979]	GO:0000502; GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0006508; GO:0006979; GO:0008233; GO:0010498; GO:0019774; GO:0043161
Ab_contig_2578	Q16956	2.6499999999999996e-23	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog) (BiP) (Protein 1603)	Aplysia californica (California sea hare)		GO:0005524; GO:0005788; GO:0016887; GO:0140662
Ab_contig_2593	Q91Z53	1.82e-36	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)	Mus musculus (Mouse)	dicarboxylic acid metabolic process [GO:0043648]; glyoxylate metabolic process [GO:0046487]	GO:0005737; GO:0005829; GO:0008465; GO:0016618; GO:0030267; GO:0031406; GO:0042803; GO:0043648; GO:0046487; GO:0050661; GO:0051287; GO:0070402; GO:1902494
Ab_contig_2599	P25773	7.71e-22	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Progesterone-dependent protein) (PDP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	Felis catus (Cat) (Felis silvestris catus)	antigen processing and presentation of peptide antigen [GO:0048002]; CD4-positive, alpha-beta T cell lineage commitment [GO:0043373]; collagen catabolic process [GO:0030574]; elastin catabolic process [GO:0060309]; enkephalin processing [GO:0034230]; immune response [GO:0006955]; protein autoprocessing [GO:0016540]; proteolysis involved in protein catabolic process [GO:0051603]; zymogen activation [GO:0031638]	GO:0004175; GO:0004197; GO:0005615; GO:0005764; GO:0006955; GO:0016324; GO:0016540; GO:0030574; GO:0031638; GO:0034230; GO:0042583; GO:0043373; GO:0048002; GO:0051603; GO:0060309
Ab_contig_2606	Q5F428	1.72e-26	Eukaryotic translation initiation factor 3 subunit L (eIF3l)	Gallus gallus (Chicken)	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	GO:0001732; GO:0003743; GO:0005852; GO:0006413; GO:0016282; GO:0033290
Ab_contig_2611	F1Q8W0	2.8799999999999995e-55	Splicing factor Cactin (zCactin)	Danio rerio (Zebrafish) (Brachydanio rerio)	anterior/posterior axis specification, embryo [GO:0008595]; eye development [GO:0001654]; innate immune response [GO:0045087]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of innate immune response [GO:0045824]; nervous system development [GO:0007399]; neural retina development [GO:0003407]; positive regulation of embryonic development [GO:0040019]	GO:0000398; GO:0001654; GO:0003407; GO:0005634; GO:0005681; GO:0005737; GO:0007399; GO:0008595; GO:0040019; GO:0045087; GO:0045292; GO:0045824
Ab_contig_2613	Q9VZN4	1.26e-58	Dendritic arbor reduction protein 1	Drosophila melanogaster (Fruit fly)	negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; positive regulation of dendrite extension [GO:1903861]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000122; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006357; GO:0007026; GO:0007399; GO:0043565; GO:0045944; GO:0046872; GO:0050775; GO:1903861
Ab_contig_2620	Q4VIT4	1.56e-23	Protein disulfide-isomerase A3 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)		GO:0003756; GO:0005783; GO:0005788; GO:0042470
Ab_contig_2625	P36873	2.62e-60	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	Homo sapiens (Human)	cell cycle [GO:0007049]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; MAPK cascade [GO:0000165]; neuron differentiation [GO:0030182]; positive regulation of glial cell proliferation [GO:0060252]; protein dephosphorylation [GO:0006470]; regulation of circadian rhythm [GO:0042752]; regulation of nucleocytoplasmic transport [GO:0046822]	GO:0000165; GO:0000776; GO:0003723; GO:0004721; GO:0004722; GO:0005521; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005741; GO:0005829; GO:0005856; GO:0005925; GO:0005977; GO:0006470; GO:0007049; GO:0008022; GO:0008157; GO:0016607; GO:0016791; GO:0017018; GO:0019901; GO:0019904; GO:0030182; GO:0030496; GO:0032154; GO:0032922; GO:0032991; GO:0042752; GO:0043153; GO:0043197; GO:0044877; GO:0046822; GO:0046872; GO:0047485; GO:0051301; GO:0060252; GO:0072357; GO:0098793; GO:0098978
Ab_contig_2626	Q18786	8.12e-54	Probable small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	Caenorhabditis elegans	spliceosomal snRNP assembly [GO:0000387]	GO:0000387; GO:0005682; GO:0005685; GO:0005686; GO:0005829; GO:0046540; GO:0071011; GO:0071013
Ab_contig_2627	A1A547	7e-24	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)	Mus musculus (Mouse)	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; biological process involved in interaction with host [GO:0051701]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of natural killer cell differentiation involved in immune response [GO:0032827]; negative regulation of type II interferon production [GO:0032689]; peptidoglycan catabolic process [GO:0009253]	GO:0005576; GO:0008270; GO:0008745; GO:0009253; GO:0016019; GO:0016045; GO:0031640; GO:0032689; GO:0032827; GO:0032991; GO:0042834; GO:0045087; GO:0046982; GO:0050830; GO:0051701; GO:0061844
Ab_contig_2630	Q1HPL8	2.4499999999999997e-38	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	Bombyx mori (Silk moth)		GO:0005743; GO:0070469
Ab_contig_2631	P07943	4.82e-48	Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR)	Rattus norvegicus (Rat)	cellular hyperosmotic salinity response [GO:0071475]; cellular response to methylglyoxal [GO:0097238]; cellular response to peptide [GO:1901653]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; epithelial cell maturation [GO:0002070]; fructose biosynthetic process [GO:0046370]; inner medullary collecting duct development [GO:0072061]; maternal process involved in female pregnancy [GO:0060135]; metanephric collecting duct development [GO:0072205]; monosaccharide metabolic process [GO:0005996]; negative regulation of apoptotic process [GO:0043066]; norepinephrine metabolic process [GO:0042415]; organic cyclic compound metabolic process [GO:1901360]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of smooth muscle cell proliferation [GO:0048661]; regulation of urine volume [GO:0035809]; renal water homeostasis [GO:0003091]; response to organic substance [GO:0010033]; response to thyroid hormone [GO:0097066]; response to water deprivation [GO:0009414]; retinoid metabolic process [GO:0001523]; sorbitol biosynthetic process [GO:0006061]; stress-activated protein kinase signaling cascade [GO:0031098]; tissue homeostasis [GO:0001894]	GO:0001523; GO:0001758; GO:0001894; GO:0002070; GO:0003091; GO:0004032; GO:0005615; GO:0005829; GO:0005996; GO:0006061; GO:0009414; GO:0010033; GO:0018505; GO:0031098; GO:0032838; GO:0033010; GO:0035809; GO:0036130; GO:0042415; GO:0042629; GO:0043066; GO:0043220; GO:0043795; GO:0044597; GO:0044598; GO:0046370; GO:0046427; GO:0047655; GO:0047956; GO:0048471; GO:0048661; GO:0052650; GO:0060135; GO:0071475; GO:0072061; GO:0072205; GO:0097066; GO:0097238; GO:0097454; GO:1901360; GO:1901653
Ab_contig_2659	Q19722	2.1200000000000002e-29	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	Caenorhabditis elegans	asparaginyl-tRNA aminoacylation [GO:0006421]; translation [GO:0006412]	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0006412; GO:0006421
Ab_contig_2673	P29775	2.6199999999999998e-37	DNA-binding protein D-ETS-4	Drosophila melanogaster (Fruit fly)	cell differentiation [GO:0030154]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000981; GO:0005634; GO:0006357; GO:0030154; GO:0043565
